account_number,account_holder,ifsc_code,Date,Narration,Debit,Credit,Balance,Account_ID,Bank_Name,txn_id,duplicate_of,is_reversed
50105414883065,Meena Iyer,HDFC0212257,2022-08-01,UPI/IDR/79687485/MEENA IYER,120.0,0.0,253159.45,ACC002,HDFC Bank,ACC002_000000,,False
50105414883065,Meena Iyer,HDFC0212257,2022-08-01,IMPS/P2P/131076865/BINDHU,0.0,18500.0,271659.45,ACC002,HDFC Bank,ACC002_000001,,False
50105414883065,Meena Iyer,HDFC0212257,2022-08-03,UPI/IDR/80771815/NAVEEN KU,448.0,0.0,271211.45,ACC002,HDFC Bank,ACC002_000002,,False
50105414883065,Meena Iyer,HDFC0212257,2022-08-03,UPI/IDR/97852712/KAVYA RED,2380.0,0.0,268831.45,ACC002,HDFC Bank,ACC002_000003,,False
50105414883065,Meena Iyer,HDFC0212257,2022-08-02,UPI/IDR/0295334425/SUNITA,48.0,0.0,268783.45,ACC002,HDFC Bank,ACC002_000004,,False
50105414883065,Meena Iyer,HDFC0212257,2022-08-02,CASH DEPOSIT/BRANCH COUNT,0.0,500.0,269283.45,ACC002,HDFC Bank,ACC002_000005,,False
50105414883065,Meena Iyer,HDFC0212257,2022-08-03,CASH DEPOSIT/BRANCH COUNT,0.0,850.0,270131.45,ACC002,HDFC Bank,ACC002_000006,,False
50105414883065,Meena Iyer,HDFC0212257,2022-08-04,ATM/WDL/003399200/0054/AEFC,49.0,0.0,270082.45,ACC002,HDFC Bank,ACC002_000007,,False
50105414883065,Meena Iyer,HDFC0212257,2022-08-04,CASH DEPOSIT/BRANCH COUNT,0.0,500.0,270582.45,ACC002,HDFC Bank,ACC002_000008,,False
50105414883065,Meena Iyer,HDFC0212257,2022-08-04,CASH DEPOSIT/BRANCH COUNT,0.0,1200.0,271782.45,ACC002,HDFC Bank,ACC002_000009,,False
50105414883065,Meena Iyer,HDFC0212257,2022-08-04,CASH DEPOSIT/BRANCH COUNT,0.0,0.0,271782.45,ACC002,HDFC Bank,ACC002_000010,,False
50105414883065,Meena Iyer,HDFC0212257,2022-08-05,UPI/ICR/792781168/MEENA I,0.0,24000.0,298733.45,ACC002,HDFC Bank,ACC002_000011,,False
50105414883065,Meena Iyer,HDFC0212257,2022-08-06,NEFT/6111056563045/LATHA M,2380.0,0.0,296353.45,ACC002,HDFC Bank,ACC002_000012,,False
50105414883065,Meena Iyer,HDFC0212257,2022-08-06,UPI/IDR/6008717320/NILESH,0.0,11200.0,307553.45,ACC002,HDFC Bank,ACC002_000013,,False
50105414883065,Meena Iyer,HDFC0212257,2022-08-06,NEFT/17576787122/RAMESH,0.0,500.0,308053.45,ACC002,HDFC Bank,ACC002_000014,,False
50105414883065,Meena Iyer,HDFC0212257,2022-08-07,UPI/IDR/8988783098/FARHAN,449.0,0.0,307604.45,ACC002,HDFC Bank,ACC002_000015,,False
50105414883065,Meena Iyer,HDFC0212257,2022-08-08,IMPS/P2P/447570728/PREETHI,0.0,850.0,308454.45,ACC002,HDFC Bank,ACC002_000016,,False
50105414883065,Meena Iyer,HDFC0212257,2022-08-08,UPI/IDR/8340758967/VENKAT RA,3499.0,0.0,304955.45,ACC002,HDFC Bank,ACC002_000017,,False
50105414883065,Meena Iyer,HDFC0212257,2022-08-08,UPI/IDR/371154029855/POOJA,3499.0,0.0,301456.45,ACC002,HDFC Bank,ACC002_000018,,False
50105414883065,Meena Iyer,HDFC0212257,2022-08-08,NEFT/68887248932/SHEELA,0.0,1200.0,302656.45,ACC002,HDFC Bank,ACC002_000019,,False
50105414883065,Meena Iyer,HDFC0212257,2022-08-09,NEFT/6889935251/MOHAMMED,1680.0,0.0,300976.45,ACC002,HDFC Bank,ACC002_000020,,False
50105414883065,Meena Iyer,HDFC0212257,2022-08-11,CHQ NO 135510 CLEARING,2380.0,0.0,298478.45,ACC002,HDFC Bank,ACC002_000021,,False
50105414883065,Meena Iyer,HDFC0212257,2022-08-11,UPI/IDR/77060332833/KAVITHA,0.0,1680.0,300158.45,ACC002,HDFC Bank,ACC002_000022,,False
50105414883065,Meena Iyer,HDFC0212257,2022-08-11,UPI/IDR/98302701789/LATHA M,310.0,0.0,299848.45,ACC002,HDFC Bank,ACC002_000023,,False
50105414883065,Meena Iyer,HDFC0212257,2022-08-11,NEFT/76035451775/IDVYAM,0.0,7800.0,307648.45,ACC002,HDFC Bank,ACC002_000024,,False
50105414883065,Meena Iyer,HDFC0212257,2022-08-12,UPI/IDR/48332234159/VENKAT,449.0,0.0,287339.45,ACC002,HDFC Bank,ACC002_000025,,False
50105414883065,Meena Iyer,HDFC0212257,2022-08-13,ATM/WDL/20535044258/SCANA,7800.0,0.0,282489.45,ACC002,HDFC Bank,ACC002_000026,,False
50105414883065,Meena Iyer,HDFC0212257,2022-08-15,CASH DEPOSIT/BRANCH COUNT,0.0,4800.0,287289.45,ACC002,HDFC Bank,ACC002_000027,,False
50105414883065,Meena Iyer,HDFC0212257,2022-08-15,UPI/ICR/751848791/RAVI KUMA,0.0,24000.0,311288.45,ACC002,HDFC Bank,ACC002_000028,,False
00000051399615291,Ravi Kumar Sharma,SBIN0393634,2022-08-01,CASH DEPOSIT/BRANCH COUNTER/PUNE CAMP,0.0,850.0,116112.65,ACC001,State Bank of India,ACC001_000029,,False
00000051399615291,Ravi Kumar Sharma,SBIN0393634,2022-08-01,UPI/DR/4191948221/MEERA PILLAI/SBIN0393634/meera628@okhdfc,310.0,0.0,115802.65,ACC001,State Bank of India,ACC001_000030,,False
00000051399615291,Ravi Kumar Sharma,SBIN0393634,2022-08-02,UPI/CR/98130815/LALITHA DEVI/SBIN0393634/lalitha278@paytm,0.0,850.0,116652.65,ACC001,State Bank of India,ACC001_000031,,False
00000051399615291,Ravi Kumar Sharma,SBIN0393634,2022-08-02,UPI/CR/482584337530/IMRAN KHAN/SBIN0393634/imran857@ybl,0.0,500.0,117152.65,ACC001,State Bank of India,ACC001_000032,,False
00000051399615291,Ravi Kumar Sharma,SBIN0393634,2022-08-02,IMPS/P2P/18351699/ARUN SHARMA/8782867089,0.0,7600.0,124752.65,ACC001,State Bank of India,ACC001_000033,,False
00000051399615291,Ravi Kumar Sharma,SBIN0393634,2022-08-02,CASH DEPOSIT/BRANCH COUNTER/PUNE CAMP,0.0,11200.0,135952.65,ACC001,State Bank of India,ACC001_000034,,False
00000051399615291,Ravi Kumar Sharma,SBIN0393634,2022-08-03,CHQ NO 111916 CLEARING,699.0,0.0,135253.65,ACC001,State Bank of India,ACC001_000035,,False
00000051399615291,Ravi Kumar Sharma,SBIN0393634,2022-08-03,CHQ NO 549488 CLEARING,999.0,0.0,134254.65,ACC001,State Bank of India,ACC001_000036,,False
