account_number,account_holder,ifsc_code,Date,Time,Narration,Debit,Credit,Balance,Bank_Name,Transaction_ID,Reference_Number,Transaction_Reference,Cheque_Number,txn_id,duplicate_of,is_reversed,Transaction_Type,source_account_id
9194437102,RAJAN PILLAI,KKBK0552336,02/12/2024,,SALARY CREDIT/S3390512285647/Vodafone Idea Ltd,0.0,73168.27,1266027.15,KOTAK MAHINDRA BANK LTD,,510330642129,,,acct_001_000000,,False,,acct_001
9194437102,RAJAN PILLAI,KKBK0552336,03/12/2024,,NACH/MANDATE/RNT4291625/RENT MANDATE,8000.0,0.0,1258027.15,KOTAK MAHINDRA BANK LTD,,124693469311,,,acct_001_000001,,False,,acct_001
9194437102,RAJAN PILLAI,KKBK0552336,04/12/2024,,NACH/MANDATE/LN564679534436/Tata Capital Finance,20500.0,0.0,1237527.15,KOTAK MAHINDRA BANK LTD,,331480133082,,,acct_001_000002,,False,,acct_001
9194437102,RAJAN PILLAI,KKBK0552336,05/12/2024,,UPI/DR/352270116735/Nykaa/PAYTM/nykaa@razorpay/UPI,5450.42,0.0,1232076.73,KOTAK MAHINDRA BANK LTD,,729739724702,,,acct_001_000003,,False,,acct_001
9194437102,RAJAN PILLAI,KKBK0552336,05/12/2024,,UPI/CR/331220428226/Lalit/SBIN/3222227923@ptsbi/UPI,0.0,13500.91,1245577.64,KOTAK MAHINDRA BANK LTD,,315288960881,,,acct_001_000004,,False,,acct_001
9194437102,RAJAN PILLAI,KKBK0552336,05/12/2024,,UPI/DR/929997182306/Vi/PAYTM/vi@airtelaxis/UPI,909.0,0.0,1244668.64,KOTAK MAHINDRA BANK LTD,,622757146687,,,acct_001_000005,,False,,acct_001
9194437102,RAJAN PILLAI,KKBK0552336,06/12/2024,,UPI/DR/429037715020/Ola/ICICI/olamoney@ola/UPI,1460.95,0.0,1243207.69,KOTAK MAHINDRA BANK LTD,,343241788848,,,acct_001_000006,,False,,acct_001
9194437102,RAJAN PILLAI,KKBK0552336,07/12/2024,,POS HP PETROL PUMP LUDHIANA,4200.42,0.0,1239007.27,KOTAK MAHINDRA BANK LTD,,439112139935,,,acct_001_000007,,False,,acct_001
9194437102,RAJAN PILLAI,KKBK0552336,07/12/2024,,UPI/DR/345747653611/Meesho/PAYTM/meesho@ybl/UPI,1000.85,0.0,1238006.42,KOTAK MAHINDRA BANK LTD,,514485484694,,,acct_001_000008,,False,,acct_001
9194437102,RAJAN PILLAI,KKBK0552336,08/12/2024,,UPI/DR/300769379439/Gaurav/UTIB/3368353283@kotak/UPI,14550.6,0.0,1223455.82,KOTAK MAHINDRA BANK LTD,,560841682116,,,acct_001_000009,,False,,acct_001
9194437102,RAJAN PILLAI,KKBK0552336,08/12/2024,,UPI/DR/623004246400/Jio/ICICI/jio@paytm/UPI,2220.42,0.0,1221235.4,KOTAK MAHINDRA BANK LTD,,867240515040,,,acct_001_000010,,False,,acct_001
9194437102,RAJAN PILLAI,KKBK0552336,08/12/2024,,UPI/DR/532582312283/BigBasket/ICICI/bigbasket@ybl/UPI,650.76,0.0,1220584.64,KOTAK MAHINDRA BANK LTD,,086677246952,,,acct_001_000011,,False,,acct_001
9194437102,RAJAN PILLAI,KKBK0552336,08/12/2024,,UPI/DR/958501910514/Vi/PAYTM/vi@airtelaxis/UPI,259.0,0.0,1220325.64,KOTAK MAHINDRA BANK LTD,,470396658105,,,acct_001_000012,,False,,acct_001
9194437102,RAJAN PILLAI,KKBK0552336,09/12/2024,,POS LIFESTYLE STORES LUDHIANA,7250.34,0.0,1213075.3,KOTAK MAHINDRA BANK LTD,,346505715254,,,acct_001_000013,,False,,acct_001
9194437102,RAJAN PILLAI,KKBK0552336,09/12/2024,,UPI/DR/781036246629/Varsha/BDBL/1857714646@okhdfcbank/UPI,19850.25,0.0,1193225.05,KOTAK MAHINDRA BANK LTD,,983557843541,,,acct_001_000014,,False,,acct_001
