duplicate_row_number,original_row_number,account_number,date,amount,debit,credit,narration,reason_flagged
55,40,00869354051,05/05/2025,200152.0,200152.0,0.0,BLKRTGS/OnscreenPayment/6053084803 0,exact_duplicate (same Date + Narration + Debit + Credit + Account)
101,99,00869354051,06/05/2025,25000.0,25000.0,0.0,BLKNEFT/BLKPAY_YYYYMMDD/123,exact_duplicate (same Date + Narration + Debit + Credit + Account)
137,107,00869354051,06/05/2025,30000.0,30000.0,0.0,BLKNEFT/BLKPAY_YYYYMMDD/123,exact_duplicate (same Date + Narration + Debit + Credit + Account)
138,129,00869354051,06/05/2025,20000.0,20000.0,0.0,BLKNEFT/BLKPAY_YYYYMMDD/123,exact_duplicate (same Date + Narration + Debit + Credit + Account)
140,129,00869354051,06/05/2025,20000.0,20000.0,0.0,BLKNEFT/BLKPAY_YYYYMMDD/123,exact_duplicate (same Date + Narration + Debit + Credit + Account)
141,129,00869354051,06/05/2025,20000.0,20000.0,0.0,BLKNEFT/BLKPAY_YYYYMMDD/123,exact_duplicate (same Date + Narration + Debit + Credit + Account)
158,154,00869354051,07/05/2025,30000.0,30000.0,0.0,BLKNEFT/BLKPAY_YYYYMMDD/123,exact_duplicate (same Date + Narration + Debit + Credit + Account)
160,154,00869354051,07/05/2025,30000.0,30000.0,0.0,BLKNEFT/BLKPAY_YYYYMMDD/123,exact_duplicate (same Date + Narration + Debit + Credit + Account)
178,161,00869354051,07/05/2025,35000.0,35000.0,0.0,BLKNEFT/BLKPAY_YYYYMMDD/123,exact_duplicate (same Date + Narration + Debit + Credit + Account)
190,154,00869354051,07/05/2025,30000.0,30000.0,0.0,BLKNEFT/BLKPAY_YYYYMMDD/123,exact_duplicate (same Date + Narration + Debit + Credit + Account)
199,185,00869354051,07/05/2025,40000.0,40000.0,0.0,BLKNEFT/BLKPAY_YYYYMMDD/123,exact_duplicate (same Date + Narration + Debit + Credit + Account)
421,409,18306700003,03/04/2025,200000.0,200000.0,0.0,BLKRTGS/OnscreenPayment/dasdsa,exact_duplicate (same Date + Narration + Debit + Credit + Account)
441,440,18306700003,03/04/2025,300000.0,300000.0,0.0,BLKRTGS/idfc00/dasda,exact_duplicate (same Date + Narration + Debit + Credit + Account)
454,445,18306700003,03/04/2025,300000.0,300000.0,0.0,BLKRTGS/idfc00/dasdas,exact_duplicate (same Date + Narration + Debit + Credit + Account)
