account_number,account_holder,ifsc_code,Date,Time,Narration,Debit,Credit,Balance,Bank_Name,Transaction_ID,Reference_Number,Transaction_Reference,Cheque_Number,txn_id,duplicate_of,is_reversed,source_account_id
UNKNOWN-mt_case_01,,UNKNOWN,13/01/2025,,DIGITA-MUMBAI/ NEFT-BARBN2501139210566-Northern Traders Company,0.0,68976.0,239457.0,Unknown Bank,89477031740948_000000,,,,acct_001_000000,,False,acct_001
UNKNOWN-mt_case_01,,UNKNOWN,14/01/2025,,NEFT/PUNBN2501146455750/S R K Enterprises CDCI CDCI,0.0,58237.0,123188.0,Unknown Bank,3545244589369467_000000,,,,acct_001_000001,,False,acct_001
UNKNOWN-mt_case_01,,UNKNOWN,14/01/2025,,UPI/DR/811284528269/INDI/PUNB/**fuelpay@ybl@punb0357827.ifsc.npci/UPI//ICI9619745768/INDIANOIL,3104.0,0.0,339681.0,Unknown Bank,959195047945_000001,,,,acct_001_000002,,False,acct_001
UNKNOWN-mt_case_01,,UNKNOWN,15/01/2025,,CWDR/496650861225/15-01-2025 12:33:50/CMN,5000.0,0.0,163081.0,Unknown Bank,24281907163731_000002,,,,acct_001_000003,,False,acct_001
UNKNOWN-mt_case_01,,UNKNOWN,15/01/2025,,UPI/368023716724/DR/DMART/FDRL/dmart.pay@okaxis@fdrl0579385.ifsc.npci/UPI,3299.0,0.0,58833.0,Unknown Bank,6564227161247_000000,,,,acct_001_000004,,False,acct_001
UNKNOWN-mt_case_01,,UNKNOWN,16/01/2025,,UPI/771577035293/P2A/bbdaily@okhdfcbank@idfb0798878.ifsc.npci/BIGBASKET CDCI CDCI,1525.0,0.0,121663.0,Unknown Bank,3545244589369467_000001,,,,acct_001_000005,,False,acct_001
UNKNOWN-mt_case_01,,UNKNOWN,16/01/2025,,NEFT CR-IDIB0900331-HANUMAN DICO-CNRBN2501160319752,0.0,40558.0,99391.0,Unknown Bank,6564227161247_000001,,,,acct_001_000006,,False,acct_001
UNKNOWN-mt_case_01,,UNKNOWN,16/01/2025,,UPI/DR/537823793733/DMAR/SBIN/**dmart.pay@okaxis@sbin0468330.ifsc.npci/UPI//ICI3500110897/DMART,504.0,0.0,339159.0,Unknown Bank,959195047945_000003,,,,acct_001_000007,,False,acct_001
UNKNOWN-mt_case_01,,UNKNOWN,17/01/2025,,UPI/783535689960/P2A/bescom.bill@upi@utib0612389.ifsc.npci/BESCOM CDCI CDCI,2390.0,0.0,119273.0,Unknown Bank,3545244589369467_000002,,,,acct_001_000008,,False,acct_001
UNKNOWN-mt_case_01,,UNKNOWN,18/01/2025,,UPI/853216200807/DR/IRCTC/BARB/irctc.pay@axisbank@barb0594205.ifsc.npci/UPI,2429.0,0.0,96962.0,Unknown Bank,6564227161247_000002,,,,acct_001_000009,,False,acct_001
