Date,Time,Narration,Debit,Credit,Balance,Account_ID,Bank_Name,Transaction_ID,Reference_Number,Transaction_Reference,Cheque_Number,IFSC_Code,flag_reason,mismatch_diagnosis,source_account_id
14/01/2025,,UPI/941064860146/DR/BIGBASKET/BARB/bbdaily@okhdfcbank@barb0448145.ifsc.npci/UPI,4128.0,0.0,92307.0,UNKNOWN-mt_case_01,Unknown Bank,24281907163731_000000,,,,UNKNOWN,balance_mismatch,missing_transaction,acct_001
14/01/2025,,NEFT:ICICN2501146026106:CARMEN TRINITY VENTURE,0.0,59909.0,342785.0,UNKNOWN-mt_case_01,Unknown Bank,959195047945_000000,,,,UNKNOWN,balance_mismatch,missing_transaction,acct_001
15/01/2025,,FT NEFT/FDRLN2501151595909/GLOBAL ENTERPRISE/GLOBAL ENTERPRISE TRF 15-Jan-25,0.0,75774.0,168081.0,UNKNOWN-mt_case_01,Unknown Bank,24281907163731_000001,,,,UNKNOWN,balance_mismatch,missing_transaction,acct_001
15/01/2025,,UPI/MOB/624831201207/Pay request to Pharmacy/medplus@ybl@icic0335995.ifsc.npci/PHARMACY,1279.0,0.0,254085.0,UNKNOWN-mt_case_01,Unknown Bank,50603887137_000000,,,,UNKNOWN,balance_mismatch,missing_transaction,acct_001
15/01/2025,,SMS ALERT CHARGES NEW,18.0,0.0,339663.0,UNKNOWN-mt_case_01,Unknown Bank,959195047945_000002,,,,UNKNOWN,balance_mismatch,missing_transaction,acct_001
16/01/2025,,NEFT/IDFBN2501161471545/RG ENTERPRISE/CNRB0273161,0.0,58306.0,312391.0,UNKNOWN-mt_case_01,Unknown Bank,50603887137_000001,,,,UNKNOWN,balance_mismatch,missing_transaction,acct_001
16/01/2025,,UPI/736133379101/16:51:06/UPI/fuelpay@ybl@cnrb0659457.ifsc.npci/Payment/INDIANOIL,2556.0,0.0,236901.0,UNKNOWN-mt_case_01,Unknown Bank,89477031740948_000001,,,,UNKNOWN,balance_mismatch,missing_transaction,acct_001
17/01/2025,,UPI/006717421116/DR/BESCOM/BARB/bescom.bill@upi@barb0846672.ifsc.npci/UPI,927.0,0.0,162154.0,UNKNOWN-mt_case_01,Unknown Bank,24281907163731_000003,,,,UNKNOWN,balance_mismatch,missing_transaction,acct_001
18/01/2025,,UPI/MOB/068457893065/Pay request to Indianoil/fuelpay@ybl@hdfc0820986.ifsc.npci/INDIANOIL,4067.0,0.0,308324.0,UNKNOWN-mt_case_01,Unknown Bank,50603887137_000002,,,,UNKNOWN,balance_mismatch,missing_transaction,acct_001
18/01/2025,,UPI/DR/406607555238/INDI/SBIN/**fuelpay@ybl@sbin0904753.ifsc.npci/UPI//ICI4746803835/INDIANOIL,2377.0,0.0,336782.0,UNKNOWN-mt_case_01,Unknown Bank,959195047945_000004,,,,UNKNOWN,balance_mismatch,missing_transaction,acct_001
