duplicate_row_number,original_row_number,account_number,date,amount,debit,credit,narration,reason_flagged,source_account_id
55,40,00869354051,05/05/2025,200152.0,200152.0,0.0,BLKRTGS/OnscreenPayment/6053084803 0,exact_duplicate (same Date + Narration + Debit + Credit + Account),acct_001
101,99,00869354051,06/05/2025,25000.0,25000.0,0.0,BLKNEFT/BLKPAY_YYYYMMDD/123,exact_duplicate (same Date + Narration + Debit + Credit + Account),acct_001
137,107,00869354051,06/05/2025,30000.0,30000.0,0.0,BLKNEFT/BLKPAY_YYYYMMDD/123,exact_duplicate (same Date + Narration + Debit + Credit + Account),acct_001
138,129,00869354051,06/05/2025,20000.0,20000.0,0.0,BLKNEFT/BLKPAY_YYYYMMDD/123,exact_duplicate (same Date + Narration + Debit + Credit + Account),acct_001
140,129,00869354051,06/05/2025,20000.0,20000.0,0.0,BLKNEFT/BLKPAY_YYYYMMDD/123,exact_duplicate (same Date + Narration + Debit + Credit + Account),acct_001
141,129,00869354051,06/05/2025,20000.0,20000.0,0.0,BLKNEFT/BLKPAY_YYYYMMDD/123,exact_duplicate (same Date + Narration + Debit + Credit + Account),acct_001
158,154,00869354051,07/05/2025,30000.0,30000.0,0.0,BLKNEFT/BLKPAY_YYYYMMDD/123,exact_duplicate (same Date + Narration + Debit + Credit + Account),acct_001
160,154,00869354051,07/05/2025,30000.0,30000.0,0.0,BLKNEFT/BLKPAY_YYYYMMDD/123,exact_duplicate (same Date + Narration + Debit + Credit + Account),acct_001
178,161,00869354051,07/05/2025,35000.0,35000.0,0.0,BLKNEFT/BLKPAY_YYYYMMDD/123,exact_duplicate (same Date + Narration + Debit + Credit + Account),acct_001
190,154,00869354051,07/05/2025,30000.0,30000.0,0.0,BLKNEFT/BLKPAY_YYYYMMDD/123,exact_duplicate (same Date + Narration + Debit + Credit + Account),acct_001
199,185,00869354051,07/05/2025,40000.0,40000.0,0.0,BLKNEFT/BLKPAY_YYYYMMDD/123,exact_duplicate (same Date + Narration + Debit + Credit + Account),acct_001
421,409,18306700003,03/04/2025,200000.0,200000.0,0.0,BLKRTGS/OnscreenPayment/dasdsa,exact_duplicate (same Date + Narration + Debit + Credit + Account),acct_003
441,440,18306700003,03/04/2025,300000.0,300000.0,0.0,BLKRTGS/idfc00/dasda,exact_duplicate (same Date + Narration + Debit + Credit + Account),acct_003
454,445,18306700003,03/04/2025,300000.0,300000.0,0.0,BLKRTGS/idfc00/dasdas,exact_duplicate (same Date + Narration + Debit + Credit + Account),acct_003
455,448,18306700003,03/04/2025,200000.0,200000.0,0.0,BLKRTGS/idfc00/dasdas,exact_duplicate (same Date + Narration + Debit + Credit + Account),acct_003
456,444,18306700003,03/04/2025,200000.0,200000.0,0.0,BLKRTGS/idfc00/dasda,exact_duplicate (same Date + Narration + Debit + Credit + Account),acct_003
457,440,18306700003,03/04/2025,300000.0,300000.0,0.0,BLKRTGS/idfc00/dasda,exact_duplicate (same Date + Narration + Debit + Credit + Account),acct_003
496,495,18306700003,04/04/2025,200000.0,200000.0,0.0,BLKRTGS/idfc00/dasdasd,exact_duplicate (same Date + Narration + Debit + Credit + Account),acct_003
519,488,18306700003,04/04/2025,200000.0,200000.0,0.0,BLKRTGS/idfc00/dasdas,exact_duplicate (same Date + Narration + Debit + Credit + Account),acct_003
545,500,18306700003,04/04/2025,100000.0,100000.0,0.0,BLKNEFT/idfc00/TARUN,exact_duplicate (same Date + Narration + Debit + Credit + Account),acct_003
547,500,18306700003,04/04/2025,100000.0,100000.0,0.0,BLKNEFT/idfc00/TARUN,exact_duplicate (same Date + Narration + Debit + Credit + Account),acct_003
609,607,92883409730,26/05/2025,300000.0,300000.0,0.0,BLKIFT/OnscreenPayment/50105202521,exact_duplicate (same Date + Narration + Debit + Credit + Account),acct_004
611,607,92883409730,26/05/2025,300000.0,300000.0,0.0,BLKIFT/OnscreenPayment/50105202521,exact_duplicate (same Date + Narration + Debit + Credit + Account),acct_004
612,607,92883409730,26/05/2025,300000.0,300000.0,0.0,BLKIFT/OnscreenPayment/50105202521,exact_duplicate (same Date + Narration + Debit + Credit + Account),acct_004
