account_number,account_holder,ifsc_code,Date,Time,Narration,Transaction_ID,Reference_Number,Transaction_Reference,Cheque_Number,Debit,Credit,Balance,Transaction_Type,Bank_Name,txn_id,duplicate_of,is_reversed,source_account_id
6551703125468816,CIF No,BKID0692937,01/12/2024,,POS METRO CASH CARRY GURGAON 148879528605,,,148879528605,,2300.33,0.0,1535723.1,debit,Bank of India,acct_001_000000,,False,acct_001
6551703125468816,CIF No,BKID0692937,01/12/2024,,UPI/DR/890490737832/Ajay/SBIN/ajay.dutta@kotak/UPI 600249169600,,,890490737832,,19350.59,0.0,1516372.51,debit,Bank of India,acct_001_000001,,False,acct_001
6551703125468816,CIF No,BKID0692937,01/12/2024,,UPI/CR/064504748261/Priya/UCBA/5217025749@apl/UPI 852438961103,,,064504748261,,0.0,9050.79,1525423.3,credit,Bank of India,acct_001_000002,,False,acct_001
6551703125468816,CIF No,BKID0692937,02/12/2024,,UPI/DR/401775352884/Amazon/ICICI/amazon@apl/UPI 995340892401,,,401775352884,,1390.1,0.0,1524033.2,debit,Bank of India,acct_001_000003,,False,acct_001
6551703125468816,CIF No,BKID0692937,02/12/2024,,UPI/CR/670305728881/Usha/SBIN/usha.kumar@pthdfc/UPI 441340174573,,,670305728881,,0.0,7300.61,1531333.81,credit,Bank of India,acct_001_000004,,False,acct_001
6551703125468816,CIF No,BKID0692937,02/12/2024,,UPI/DR/343257380544/Varun/HDFC/varun196@pthdfc/UPI 488603509480,,,343257380544,,16050.09,0.0,1515283.72,debit,Bank of India,acct_001_000005,,False,acct_001
6551703125468816,CIF No,BKID0692937,02/12/2024,,UPI/DR/372893329833/Nykaa/PAYTM/nykaa@razorpay/UPI 195380595300,,,372893329833,,5500.25,0.0,1509783.47,debit,Bank of India,acct_001_000006,,False,acct_001
6551703125468816,CIF No,BKID0692937,03/12/2024,,UPI/DR/312820504995/Paytm/ICICI/paytm@paytm/UPI 493738950718,,,312820504995,,1270.91,0.0,1508512.56,debit,Bank of India,acct_001_000007,,False,acct_001
6551703125468816,CIF No,BKID0692937,03/12/2024,,UPI/CR/984827070689/Saurabh/BDBL/saurabh601@kotak/UPI 149985402089,,,984827070689,,0.0,6050.57,1514563.13,credit,Bank of India,acct_001_000008,,False,acct_001
6551703125468816,CIF No,BKID0692937,04/12/2024,,POS BHARAT PETROLEUM GURGAON 677577996185,,,677577996185,,3100.71,0.0,1511462.42,debit,Bank of India,acct_001_000009,,False,acct_001
