account_number,account_holder,ifsc_code,Date,Time,Narration,Transaction_ID,Reference_Number,Transaction_Reference,Cheque_Number,Debit,Credit,Balance,Transaction_Type,Bank_Name,txn_id,duplicate_of,is_reversed,source_account_id
3012346509702773,CIF No,BKID0450111,02/12/2024,,UPI/CR/055522543496/Babita/SBIN/babitapill76@ybl/UPI 322240622510,,,055522543496,,0.0,7150.49,302522.89,credit,Bank of India,acct_002_000000,,False,acct_002
3012346509702773,CIF No,BKID0450111,03/12/2024,,UPI/DR/426887211289/Zepto/ICICI/zepto@apl/UPI 241323634785,,,426887211289,,1690.31,0.0,300832.58,debit,Bank of India,acct_002_000001,,False,acct_002
3012346509702773,CIF No,BKID0450111,03/12/2024,,UPI/DR/934033785148/Rajesh/UCBA/rajeshagar38@axl/UPI 738559659617,,,934033785148,,7250.27,0.0,293582.31,debit,Bank of India,acct_002_000002,,False,acct_002
3012346509702773,CIF No,BKID0450111,03/12/2024,,UPI/DR/693608393311/Airtel/PAYTM/vi@airtelaxis/UPI 268412717212,,,693608393311,,189.0,0.0,293393.31,debit,Bank of India,acct_002_000003,,False,acct_002
3012346509702773,CIF No,BKID0450111,04/12/2024,,UPI/DR/593720096085/Ola/PAYTM/olamoney@ola/UPI 564575471658,,,593720096085,,650.05,0.0,292743.26,debit,Bank of India,acct_002_000004,,False,acct_002
3012346509702773,CIF No,BKID0450111,04/12/2024,,UPI/DR/799838912308/Dunzo/ICICI/dunzo@razorpay/UPI 468024672097,,,799838912308,,1040.38,0.0,291702.88,debit,Bank of India,acct_002_000005,,False,acct_002
3012346509702773,CIF No,BKID0450111,05/12/2024,,UPI/DR/030608637593/Ola/PAYTM/olamoney@ola/UPI 882398215769,,,030608637593,,330.07,0.0,291372.81,debit,Bank of India,acct_002_000006,,False,acct_002
3012346509702773,CIF No,BKID0450111,05/12/2024,,UPI/DR/917446316286/HDFC/LICI/licindia@licindia/UPI 374150137089,,,917446316286,,7300.0,0.0,284072.81,debit,Bank of India,acct_002_000007,,False,acct_002
3012346509702773,CIF No,BKID0450111,05/12/2024,,UPI/DR/398878524558/Rapido/PAYTM/rapido@icici/UPI 890716846364,,,398878524558,,880.59,0.0,283192.22,debit,Bank of India,acct_002_000008,,False,acct_002
3012346509702773,CIF No,BKID0450111,06/12/2024,,UPI/CR/022885171158/Sneha/KKBK/9321664199@oksbi/UPI 491428855153,,,022885171158,,0.0,12800.75,295992.97,credit,Bank of India,acct_002_000009,,False,acct_002
3012346509702773,CIF No,BKID0450111,06/12/2024,,POS HP PETROL PUMP NAGPUR 374934240919,,,374934240919,,2000.0,0.0,293992.97,debit,Bank of India,acct_002_000010,,False,acct_002
3012346509702773,CIF No,BKID0450111,06/12/2024,,UPI/DR/043586953348/Uber/ICICI/uber@paytm/UPI 504107679646,,,043586953348,,1990.54,0.0,292002.43,debit,Bank of India,acct_002_000011,,False,acct_002
3012346509702773,CIF No,BKID0450111,06/12/2024,,UPI/DR/690391725461/Airtel/PAYTM/vi@airtelaxis/UPI 483986510008,,,690391725461,,329.0,0.0,291673.43,debit,Bank of India,acct_002_000012,,False,acct_002
3012346509702773,CIF No,BKID0450111,07/12/2024,,UPI/DR/299753346506/Zepto/ICICI/zepto@apl/UPI 464105031568,,,299753346506,,2640.53,0.0,289032.9,debit,Bank of India,acct_002_000013,,False,acct_002
